stopword_clean_content,intensity,stopword_clean_count,segmented_content,expanded_content,spell_checked_content,stem_lemma_content,stem_lemma_count
beauty skin deepattitude bone,angriness,4,beauty skin deep attitude bone,beauty skin deep attitude bone,beauty skin deep attitude bone,beauti skin deep attitud bone,5
treated like option left like choice,angriness,6,treated like option left like choice,treated like option left like choice,treated like option left like choice,treat like option left choic,5
ways happy change situation change mindset towards,angriness,7,ways happy change situation change mindset towards,ways happy change situation change mindset towards,ways happy change situation change mindset towards,way happi chang situat mindset toward,6
attitude may hurt mine kill,angriness,5,attitude may hurt mine kill,attitude may hurt mine kill,attitude may hurt mine kill,attitud may hurt mine kill,5
private person dont ask dont tell,angriness,6,private person dont ask dont tell,private person do not ask do not tell,private person do not ask do not tell,privat person do not ask tell,6
toy,angriness,1,toy,toy,toy,toy,1
sometimes want treat people treat dont character,angriness,7,sometimes want treat people treat dont character,sometimes want treat people treat do not character,sometimes want treat people treat do not character,sometim want treat peopl do not charact,7
ever think ignoring swear phone hand,angriness,6,ever think ignoring swear phone hand,ever think ignoring swear phone hand,ever think ignoring swear phone hand,ever think ignor swear phone hand,6
take care status dont care taker status,angriness,7,take care status dont care taker status,take care status do not care taker status,take care status do not care taker status,take care status do not taker,6
hold hand put hands pocket continue walk,angriness,7,hold hand put hands pocket continue walk,hold hand put hands pocket continue walk,hold hand put hands pocket continue walk,hold hand put hand pocket continu walk,7
dont afraid outnumbered eagles fly alone pigeons flock together,angriness,9,dont afraid outnumbered eagles fly alone pigeons flock together,do not afraid outnumbered eagles fly alone pigeons flock together,do not afraid outnumbered eagles fly alone pigeons flock together,do not afraid outnumb eagl fli alon pigeon flock togeth,10
wont change anyone,angriness,3,wont change anyone,will not change anyone,will not change anyone,will not chang anyon,4
dont care people dont care,angriness,5,dont care people dont care,do not care people do not care,do not care people do not care,do not care peopl,4
nobody teach,angriness,2,nobody teach,nobody teach,nobody teach,nobodi teach,2
yes smiling youre reason anymore,angriness,5,yes smiling your e reason anymore,yes smiling your e reason anymore,yes smiling your e reason anymore,yes smile your e reason anymor,6
choose lose backup plan definitely second choice,angriness,7,choose lose backup plan definitely second choice,choose lose backup plan definitely second choice,choose lose back plan definitely second choice,choos lose back plan definit second choic,7
dont crazy crazy normal time time,angriness,6,dont crazy crazy normal time time,do not crazy crazy normal time time,do not crazy crazy normal time time,do not crazi normal time,5
never never never never give,angriness,5,never never never never give,never never never never give,never never never never give,never give,2
theres difference somebody wants somebody would anything keep remember,angriness,9,theres difference somebody wants somebody would anything keep remember,theres difference somebody wants somebody would anything keep remember,there difference somebody wants somebody would anything keep remember,there differ somebodi want would anyth keep rememb,8
dont enough middle fingers show feel,angriness,6,dont enough middle fingers show feel,do not enough middle fingers show feel,do not enough middle fingers show feel,do not enough middl finger show feel,7
yes changed pain people,angriness,4,yes changed pain people,yes changed pain people,yes changed pain people,yes chang pain peopl,4
dear girls stop comparing guys players jerks,angriness,7,dear girls stop comparing guys players jerks,dear girls stop comparing guys players jerks,dear girls stop comparing guys players jerks,dear girl stop compar guy player jerk,7
bravest thing ever continuing life wanted die,angriness,7,bravest thing ever continuing life wanted die,bravest thing ever continuing life wanted die,bravest thing ever continuing life wanted die,bravest thing ever continu life want die,7
show dont tell,angriness,3,show dont tell,show do not tell,show do not tell,show do not tell,4
dont fear commitment fear wasting time,angriness,6,dont fear commitment fear wasting time,do not fear commitment fear wasting time,do not fear commitment fear wasting time,do not fear commit wast time,6
live love fight cry never give,angriness,6,live love fight cry never give,live love fight cry never give,live love fight cry never give,live love fight cri never give,6
treats feels,angriness,2,treats feels,treats feels,treats feels,treat feel,2
someone asked attitude simply replied single attitude,angriness,7,someone asked attitude simply replied single attitude,someone asked attitude simply replied single attitude,someone asked attitude simply replied single attitude,someon ask attitud simpli repli singl,6
attitude depends people front,angriness,4,attitude depends people front,attitude depends people front,attitude depends people front,attitud depend peopl front,4
selfish whats mine mine end story,angriness,6,selfish whats mine mine end story,selfish whats mine mine end story,selfish what mine mine end story,selfish what mine end stori,5
want let know dont please gently let,angriness,7,want let know dont please gently let,want let know do not please gently let,want let know do not please gently let,want let know do not plea gentl,7
laughed different laughed theyre,angriness,4,laughed different laughed theyre,laughed different laughed they are,laughed different laughed they are,laugh differ they are,4
dont insult people describe,angriness,4,dont insult people describe,do not insult people describe,do not insult people describe,do not insult peopl describ,5
fundamentals cool life walk like king walk like dont care king,angriness,11,fundamentals cool life walk like king walk like dont care king,fundamentals cool life walk like king walk like do not care king,fundamentals cool life walk like king walk like do not care king,fundament cool life walk like king do not care,9
trusted words mean nothing actions spoke truth,angriness,7,trusted words mean nothing actions spoke truth,trusted words mean nothing actions spoke truth,trusted words mean nothing actions spoke truth,trust word mean noth action spoke truth,7
like raise hand raise standard,angriness,5,like raise hand raise standard,like raise hand raise standard,like raise hand raise standard,like rais hand standard,4
beauty fades time personality forever,angriness,5,beauty fades time personality forever,beauty fades time personality forever,beauty fades time personality forever,beauti fade time person forev,5
dear broken hearted girls hold head high middle finger higher let know missing,angriness,13,dear broken hearted girls hold head high middle finger higher let know missing,dear broken hearted girls hold head high middle finger higher let know missing,dear broken hearted girls hold head high middle finger higher let know missing,dear broken heart girl hold head high middl finger higher let know miss,13
girl mind bitch attitude lady class,angriness,6,girl mind bitch attitude lady class,girl mind bitch attitude lady class,girl mind bitch attitude lady class,girl mind bitch attitud ladi class,6
need people come need methen throw aside theyre fine,angriness,9,need people come need me then throw a side they refine,need people come need me then throw a side they refine,need people come need me then throw a side they refine,need peopl come me then throw a side they refin,10
goes respect respect forget forget simple,angriness,6,goes respect respect for get forget simple,goes respect respect for get forget simple,goes respect respect for get forget simple,goe respect for get forget simpl,6
sum hates reason give reason,angriness,5,sum hates reason give reason,sum hates reason give reason,sum hates reason give reason,sum hate reason give,4
never give something love,angriness,4,never give something love,never give something love,never give something love,never give someth love,4
excellence skill attitude,angriness,3,excellence skill attitude,excellence skill attitude,excellence skill attitude,excel skill attitud,3
want come get want come forget,angriness,6,want come get want come forget,want come get want come forget,want come get want come forget,want come get forget,4
good girls bad girls never get caught,angriness,7,good girls bad girls never get caught,good girls bad girls never get caught,good girls bad girls never get caught,good girl bad never get caught,6
keep relationship must keep business partner whole world doesnt need know problems,angriness,12,keep relationship must keep business partner whole world doesnt need know problems,keep relationship must keep business partner whole world does not need know problems,keep relationship must keep business partner whole world does not need know problems,keep relationship must busi partner whole world doe not need know problem,12
still hate methen problem,angriness,4,still hate me then problem,still hate me then problem,still hate me then problem,still hate me then problem,5
problem problem problem thatis attitude towards problem,angriness,7,problem problem problem that is attitude towards problem,problem problem problem that is attitude towards problem,problem problem problem that is attitude towards problem,problem that is attitud toward,5
girls like parking spaces good ones already taken,angriness,8,girls like parking spaces good ones already taken,girls like parking spaces good ones already taken,girls like parking spaces good ones already taken,girl like park space good one alreadi taken,8
seeing put priceless,angriness,3,seeing put priceless,seeing put priceless,seeing put priceless,see put priceless,3
stop asking faithful girls busy chasing hoes,angriness,7,stop asking faithful girls busy chasing hoes,stop asking faithful girls busy chasing hoes,stop asking faithful girls busy chasing hoes,stop ask faith girl busi chase hoe,7
difference good day bad day attitude,angriness,6,difference good day bad day attitude,difference good day bad day attitude,difference good day bad day attitude,differ good day bad attitud,5
dont trust easily tell trust please dont make regret,angriness,9,dont trust easily tell trust please dont make regret,do not trust easily tell trust please do not make regret,do not trust easily tell trust please do not make regret,do not trust easili tell plea make regret,8
tumblr girl beautiful,angriness,3,tum blr girl beautiful,tum blr girl beautiful,tum blr girl beautiful,tum blr girl beauti,4
girls say gentlemen dont exist anymore exist gentlemen attracted ladies sluts,angriness,11,girls say gentlemen dont exist anymore exist gentlemen attracted ladies sluts,girls say gentlemen do not exist anymore exist gentlemen attracted ladies sluts,girls say gentlemen do not exist anymore exist gentlemen attracted ladies sluts,girl say gentleman do not exist anymor attract ladi slut,10
dont even try judge dudeyou idea fuck,angriness,7,dont even try judge dude you idea fuck,do not even try judge dude you idea fuck,do not even try judge dude you idea fuck,do not even tri judg dude you idea fuck,9
want let know dont please gently let,angriness,7,want let know dont please gently let,want let know do not please gently let,want let know do not please gently let,want let know do not plea gentl,7
putting headphones avoid peoples bullshit,angriness,5,putting headphones avoid peoples bullshit,putting headphones avoid peoples bullshit,putting headphones avoid peoples bullshit,put headphon avoid peopl bullshit,5
scared see someone else,angriness,4,scared see someone else,scared see someone else,scared see someone else,scare see someon el,4
silence best way react angry,angriness,5,silence best way react angry,silence best way react angry,silence best way react angry,silenc best way react angri,5
hate moment suddenly anger turns tears,angriness,6,hate moment suddenly anger turns tears,hate moment suddenly anger turns tears,hate moment suddenly anger turns tears,hate moment sudden anger turn tear,6
things never forgotten forgiven,angriness,4,things never forgotten forgiven,things never forgotten forgiven,things never forgotten forgiven,thing never forgotten forgiven,4
words describe anger frustration feeling right,angriness,6,words describe anger frustration feeling right,words describe anger frustration feeling right,words describe anger frustration feeling right,word describ anger frustrat feel right,6
dont make many promises cant even keep,angriness,7,dont make many promises cant even keep,do not make many promises cannot even keep,do not make many promises can not even keep,do not make mani promis can even keep,8
sometimes angry hurt theres big difference,angriness,6,sometimes angry hurt theres big difference,sometimes angry hurt theres big difference,sometimes angry hurt there big difference,sometim angri hurt there big differ,6
better cry angry anger hurts others tears flow silently soul cleaneses heart,angriness,12,better cry angry anger hurts others tears flow silently soul clean eses heart,better cry angry anger hurts others tears flow silently soul clean eses heart,better cry angry anger hurts others tears flow silently soul clean eyes heart,better cri angri anger hurt other tear flow silent soul clean eye heart,13
delete number youre basically deleted life,angriness,6,delete number your e basically deleted life,delete number your e basically deleted life,delete number your e basically deleted life,delet number your e basic delet life,7
getting angry actually punishing mistakes others,angriness,6,getting angry actually punishing mistakes others,getting angry actually punishing mistakes others,getting angry actually punishing mistakes others,get angri actual punish mistak other,6
people never realise emotional mental damage others,angriness,7,people never realise emotional mental damage others,people never realise emotional mental damage others,people never realise emotional mental damage others,peopl never realis emot mental damag other,7
mistake letting mistake letting,angriness,4,mistake letting mistake letting,mistake letting mistake letting,mistake letting mistake letting,mistak let,2
nobody makes angry decide use anger response,angriness,7,nobody makes angry decide use anger response,nobody makes angry decide use anger response,nobody makes angry decide use anger response,nobodi make angri decid use anger respons,7
person said sweetest things also said meanest things ever heard,angriness,10,person said sweetest things also said meanest things ever heard,person said sweetest things also said meanest things ever heard,person said sweetest things also said meanest things ever heard,person said sweetest thing also meanest ever heard,8
never forget someone says angry thats truth comes,angriness,8,never forget someone says angry thats truth comes,never forget someone says angry thats truth comes,never forget someone says angry that truth comes,never forget someon say angri that truth come,8
dont know hate hate,angriness,4,dont know hate hate,do not know hate hate,do not know hate hate,do not know hate,4
people need open small minds instead big mouths,angriness,8,people need open small minds instead big mouths,people need open small minds instead big mouths,people need open small minds instead big mouths,peopl need open small mind instead big mouth,8
anger feeling makes mouth work faster mind,angriness,7,anger feeling makes mouth work faster mind,anger feeling makes mouth work faster mind,anger feeling makes mouth work faster mind,anger feel make mouth work faster mind,7
angry text speed increases ridiculous amount,angriness,6,angry text speed increases ridiculous amount,angry text speed increases ridiculous amount,angry text speed increases ridiculous amount,angri text speed increas ridicul amount,6
every minute angry lose sixty seconds happiness think,angriness,8,every minute angry lose sixty seconds happiness think,every minute angry lose sixty seconds happiness think,every minute angry lose sixty seconds happiness think,everi minut angri lose sixti second happi think,8
sucks realize rejected people person wasted time,angriness,7,sucks realize rejected people person wasted time,sucks realize rejected people person wasted time,sucks realize rejected people person wasted time,suck realiz reject peopl person wast time,7
anger natural deffense pain say hate really means hurt,angriness,9,anger natural def fense pain say hate really means hurt,anger natural def fense pain say hate really means hurt,anger natural def fense pain say hate really means hurt,anger natur def fen pain say hate realli mean hurt,10
everything getting expensive except people getting cheaper,angriness,7,everything getting expensive except people getting cheaper,everything getting expensive except people getting cheaper,everything getting expensive except people getting cheaper,everyth get expens except peopl cheaper,6
anger poison must purge mind else corrupt better nature,angriness,9,anger poison must purge mind else corrupt better nature,anger poison must purge mind else corrupt better nature,anger poison must purge mind else corrupt better nature,anger poison must purg mind el corrupt better natur,9
say milk good teeth know else good teeth minding damn business,angriness,11,say milk good teeth know else good teeth minding damn business,say milk good teeth know else good teeth minding damn business,say milk good teeth know else good teeth minding damn business,say milk good teeth know el mind damn busi,9
anger makes smaller forgiviness forces grow beyond,angriness,7,anger makes smaller for givin ess forces grow beyond,anger makes smaller for givin ess forces grow beyond,anger makes smaller for givin ess forces grow beyond,anger make smaller for givin es forc grow beyond,9
